Timestamp,Probe 282d5e54,Probe 285052be,Probe 285cb5bd,Probe 287b38bd,Probe 287ebdbb,Probe 28ab41be,Heater Thermistor (°C),Heater State,PID Output
2026-01-20T12:15:01.928714,94.00,98.25,96.50,93.00,97.50,97.75,99.54,Off,0.000
2026-01-20T12:16:01.936542,92.25,97.25,95.25,91.75,96.00,96.75,95.00,Off,0.000
2026-01-20T12:17:01.944807,90.50,96.00,93.75,90.25,94.50,95.50,93.66,Off,0.271
2026-01-20T12:18:01.956126,89.00,94.75,92.50,88.75,93.25,94.25,92.95,Off,0.437
2026-01-20T12:19:01.965588,88.00,93.75,91.50,87.75,92.25,93.25,93.18,Off,0.366
2026-01-20T12:20:01.973422,87.00,92.75,90.50,86.50,91.25,92.25,92.71,Off,0.495
2026-01-20T12:21:01.981774,85.75,92.00,89.50,85.25,90.50,91.50,92.48,On,0.530
2026-01-20T12:22:01.989722,85.00,91.25,89.00,84.50,90.00,91.00,93.30,Off,0.343
2026-01-20T12:23:02.003873,84.50,90.75,88.25,84.00,89.25,90.25,92.71,Off,0.466
2026-01-20T12:24:02.020253,84.00,90.25,87.75,83.25,89.00,90.00,92.83,Off,0.454
2026-01-20T12:25:02.028868,83.75,89.75,87.50,83.00,88.50,89.50,92.83,Off,0.448
2026-01-20T12:26:02.037277,83.25,89.50,87.00,82.50,88.25,89.00,92.37,On,0.547
2026-01-20T12:27:02.045604,82.75,89.00,86.50,81.75,87.75,88.75,92.48,On,0.512
2026-01-20T12:28:02.054442,82.25,88.75,86.25,81.50,87.50,88.50,92.95,Off,0.425
2026-01-20T12:29:02.062691,81.75,88.25,85.75,81.00,87.00,88.00,92.02,On,0.615
